layer,top1,top8,epoch
0,0.8901,0.8603,29
1,0.8461,0.7539,30
2,0.8388,0.7118,27
3,0.8337,0.7414,30
4,0.8275,0.7874,29
5,0.8056,0.7259,29
6,0.8282,0.7340,30
7,0.8040,0.7508,29
8,0.7857,0.6929,27
9,0.7647,0.6674,29
10,0.7608,0.6574,27
11,0.7190,0.6455,30
12,0.6945,0.6334,28
13,0.6678,0.6167,30
14,0.6959,0.6317,28
15,0.7407,0.7015,28
16,0.7195,0.7114,30
17,0.7272,0.7358,29
18,0.7384,0.7468,30
19,0.7284,0.7472,30
20,0.7452,0.7874,28
21,0.7460,0.7753,28
22,0.7417,0.7662,30
23,0.7512,0.7839,29
24,0.7651,0.7820,30
25,0.7407,0.7705,28
26,0.7491,0.7469,30
27,0.7762,0.7744,28
28,0.7751,0.7662,30
29,0.7762,0.8201,30
