layer,top1,top8,epoch
0,0.9201,0.9117,29
1,0.8986,0.8483,29
2,0.8917,0.8189,30
3,0.8994,0.8300,30
4,0.8856,0.8425,30
5,0.8685,0.8190,29
6,0.8852,0.8186,30
7,0.8621,0.8303,29
8,0.8513,0.8008,29
9,0.8286,0.7699,30
10,0.8406,0.7712,29
11,0.8120,0.7574,30
12,0.8087,0.7558,29
13,0.7920,0.7429,29
14,0.7866,0.7516,30
15,0.8389,0.8043,28
16,0.8094,0.8010,29
17,0.8082,0.8321,28
18,0.7973,0.8374,30
19,0.7965,0.8443,29
20,0.8026,0.8544,29
21,0.8144,0.8622,30
22,0.8017,0.8477,29
23,0.7979,0.8518,29
24,0.8113,0.8602,30
25,0.8142,0.8577,30
26,0.8184,0.8504,30
27,0.8217,0.8505,30
28,0.8332,0.8553,30
29,0.8242,0.8700,28
