layer,top1,top8,epoch
0,0.7696,0.7112,30
1,0.7191,0.5967,29
2,0.6705,0.5622,29
3,0.6528,0.4973,30
4,0.7123,0.6082,30
5,0.7116,0.5871,30
6,0.6352,0.5737,30
7,0.6812,0.5690,28
8,0.7286,0.6087,28
9,0.7189,0.6083,28
10,0.6224,0.5875,29
11,0.6245,0.6105,30
12,0.6921,0.5630,29
13,0.6586,0.5882,28
14,0.6546,0.5796,28
15,0.6425,0.5705,29
16,0.6811,0.5883,29
17,0.6326,0.5847,26
18,0.6755,0.5943,29
19,0.6663,0.5998,30
20,0.7200,0.6077,28
21,0.7178,0.6117,27
22,0.6587,0.5966,28
23,0.6326,0.5801,29
24,0.6916,0.5715,29
25,0.6815,0.5757,28
26,0.6722,0.5819,29
27,0.6599,0.5681,30
28,0.6926,0.5620,30
29,0.6921,0.5999,30
30,0.6874,0.5870,27
31,0.7026,0.5959,30
32,0.7104,0.6253,28
33,0.7414,0.6333,29
34,0.7105,0.6448,28
35,0.7170,0.5527,26
36,0.7168,0.6037,29
37,0.7556,0.6043,29
38,0.7110,0.5863,29
39,0.7220,0.6414,29
