layer,top1,top8,epoch
0,0.8451,0.7774,28
1,0.8143,0.6872,29
2,0.7965,0.6805,28
3,0.7743,0.6205,30
4,0.7910,0.6898,29
5,0.7843,0.6843,29
6,0.7544,0.6842,28
7,0.7721,0.6824,30
8,0.8019,0.6965,30
9,0.7961,0.7122,28
10,0.7320,0.7098,29
11,0.7185,0.7176,30
12,0.7577,0.6929,28
13,0.7321,0.7014,29
14,0.7521,0.7084,30
15,0.7421,0.6939,30
16,0.7515,0.6953,29
17,0.7216,0.7027,29
18,0.7561,0.7100,30
19,0.7519,0.7051,30
20,0.8086,0.7169,29
21,0.7853,0.7259,30
22,0.7283,0.7045,29
23,0.7038,0.7005,30
24,0.7554,0.6782,29
25,0.7397,0.6762,30
26,0.7521,0.6904,30
27,0.7382,0.6894,30
28,0.7530,0.6809,29
29,0.7685,0.6933,30
30,0.7656,0.7073,30
31,0.7750,0.6887,30
32,0.7857,0.7223,29
33,0.7944,0.7357,29
34,0.7898,0.7500,29
35,0.7828,0.6811,30
36,0.7964,0.6977,29
37,0.7981,0.7009,30
38,0.7912,0.6855,30
39,0.7776,0.7479,29
